score,threshold,axis,group,sensitivity,specificity,ppv,npv,n,prevalence,positive_rate
apache2,20,diag_type,Surgical,0.6936416184971098,0.778524945770065,0.19032513877874702,0.9713125845737484,4956,0.06981436642453591,0.25443906376109765
apache2,25,overall,overall,0.48933535158937663,0.9118279032580452,0.33502920670812136,0.9516173192005319,87315,0.08322739506384928,0.12155986943824085
apache2,25,race_cat,White,0.4818294628611948,0.9121847165909498,0.3351004808285045,0.9504097178630202,67054,0.08412622662331852,0.1209622095624422
apache2,25,race_cat,Other,0.530241935483871,0.9080499059989745,0.3283395755305868,0.9579877389109268,6347,0.07814715613675752,0.12620135497085236
apache2,25,race_cat,Hispanic,0.5029761904761905,0.9250541963456178,0.41119221411192214,0.9470513633481293,3565,0.09424964936886396,0.1152875175315568
apache2,25,race_cat,Black,0.5240793201133145,0.9063157894736842,0.31596925704526047,0.9584415584415584,9256,0.07627484874675886,0.1265125324114088
apache2,25,race_cat,Asian,0.4090909090909091,0.9164179104477612,0.3,0.94655704008222,1093,0.08051235132662397,0.10978956999085086
apache2,25,sex,Male,0.49357986646122237,0.9117277319375557,0.33229598893499307,0.9528917130503333,47645,0.0817294574456921,0.12139783817819289
apache2,25,sex,Female,0.4845788849347568,0.9119470855725507,0.33837233381652515,0.9500976226025037,39657,0.08502912474468569,0.12176917063822276
apache2,25,age_group,60-69,0.4997022036926742,0.9031187067980189,0.3203512791141657,0.951815522285321,20052,0.08373229603032116,0.1306104129263914
apache2,25,age_group,70-79,0.5134596211365903,0.8807928051784385,0.3310832529733205,0.9403131115459883,19463,0.10306735857781431,0.15984175101474593
apache2,25,age_group,18-29,0.6616541353383458,0.9563953488372093,0.31095406360424027,0.9895881536325775,4605,0.028881650380021717,0.06145494028230185
apache2,25,age_group,80+,0.44474105712760276,0.889455083422372,0.3824609733700643,0.9123250716573934,14040,0.1334045584045584,0.15512820512820513
apache2,25,age_group,50-59,0.4873864783047427,0.9283848060561399,0.31121134020618557,0.9646387303355144,15918,0.062256564895087324,0.0974996858901872
apache2,25,age_group,40-49,0.4919786096256685,0.9479902401438295,0.31239388794567063,0.9749075541468568,8161,0.045827717191520644,0.07217252787648573
apache2,25,age_group,30-39,0.46919431279620855,0.9623843782117163,0.35106382978723405,0.9766374634960368,5076,0.04156816390858944,0.05555555555555555
apache2,25,diag_type,Cardiac,0.5310104529616725,0.8902951284708963,0.27479264334655606,0.960395456952863,19766,0.07259941313366387,0.14029140949104524
apache2,25,diag_type,Medical,0.48104265402843605,0.9188891029120774,0.36294870031632515,0.9485376522902281,62593,0.08764558337194255,0.1161631492339399
apache2,25,diag_type,Surgical,0.4479768786127168,0.9099783080260304,0.2719298245614035,0.956452348381213,4956,0.06981436642453591,0.11501210653753027
news2,5,overall,overall,0.9874776386404294,0.12247651409154507,0.09268922758977008,0.9908034360788277,87315,0.08322739506384928,0.8866746836167898
news2,5,race_cat,White,0.9881226732848786,0.10978131665933923,0.09252220101253215,0.9901600822440887,67054,0.08412622662331852,0.8984549765860351
news2,5,race_cat,Other,0.9818548387096774,0.17518372927704665,0.09166196122717862,0.9912959381044487,6347,0.07814715613675752,0.8370883882149047
news2,5,race_cat,Hispanic,0.9791666666666666,0.17157014555589967,0.10952063914780293,0.9875222816399287,3565,0.09424964936886396,0.8426367461430575
news2,5,race_cat,Black,0.9886685552407932,0.15625730994152046,0.08822042467138523,0.9940476190476191,9256,0.07627484874675886,0.8547968885047537
news2,5,race_cat,Asian,1.0,0.14626865671641792,0.09302325581395349,1.0,1093,0.08051235132662397,0.8655077767612077
news2,5,sex,Male,0.9866461222393426,0.13190555644442412,0.09186552532160107,0.9910698952430019,47645,0.0817294574456921,0.8777836079336762
news2,5,sex,Female,0.9884341637010676,0.11098249965550502,0.09364727037734259,0.9904082636497786,39657,0.08502912474468569,0.8974708122147415
news2,5,age_group,60-69,0.98868374032162,0.12153703804495727,0.09325842696629214,0.9915630550621669,20052,0.08373229603032116,0.8876920007979254
news2,5,age_group,70-79,0.9875373878364905,0.10889614481296901,0.1129611678166163,0.9870197300103842,19463,0.10306735857781431,0.9010430046755382
news2,5,age_group,18-29,0.9924812030075187,0.1650268336314848,0.03414381789963787,0.9986468200270636,4605,0.028881650380021717,0.8395222584147666
news2,5,age_group,80+,0.984516817939135,0.0992849510972302,0.14402874326329768,0.9765561843168957,14040,0.1334045584045584,0.9118945868945869
